bookID,title,authors,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,average_rating
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,0439785960,9780439785969,eng,652,2095690,27591,2006-09-16,Scholastic Inc.,4.57
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,0439358078,9780439358071,eng,870,2153167,29221,2004-09-01,Scholastic Inc.,4.49
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,0439554896,9780439554893,eng,352,6333,244,2003-11-01,Scholastic,4.42
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,043965548X,9780439655484,eng,435,2339585,36325,2004-05-01,Scholastic Inc.,4.56
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,0439682584,9780439682589,eng,2690,41428,164,2004-09-13,Scholastic,4.78
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,0976540606,9780976540601,en-US,152,19,1,2005-04-26,Nimble Books,3.74
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,0439827604,9780439827607,eng,3342,28242,808,2005-09-12,Scholastic,4.73
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,0517226952,9780517226957,eng,815,3628,254,2005-11-01,Gramercy Books,4.38
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,0345453743,9780345453747,eng,815,249558,4080,2002-04-30,Del Rey Books,4.38
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,1400052920,9781400052929,eng,215,4930,460,2004-08-03,Crown,4.22
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,0739322206,9780739322208,eng,6,1266,253,2005-03-23,Random House Audio,4.22
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,0517149257,9780517149256,eng,815,2877,195,1996-01-17,Wings Books,4.38
21,A Short History of Nearly Everything,Bill Bryson,076790818X,9780767908184,eng,544,248558,9396,2004-09-14,Broadway Books,4.21
22,Bill Bryson's African Diary,Bill Bryson,0767915062,9780767915069,eng,55,7270,499,2002-12-03,Broadway Books,3.44
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,0767910435,9780767910439,eng,256,2088,131,2004-09-14,Broadway Books,3.87
24,In a Sunburned Country,Bill Bryson,0767903862,9780767903868,eng,335,72451,4245,2001-05-15,Broadway Books,4.07
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,076790382X,9780767903820,eng,304,49240,2211,2000-06-28,Broadway Books,3.9
26,The Lost Continent: Travels in Small Town America,Bill Bryson,0060920084,9780060920081,eng,299,45712,2257,1990-08-28,William Morrow Paperbacks,3.83
27,Neither Here nor There: Travels in Europe,Bill Bryson,0380713802,9780380713806,eng,254,48701,2238,1993-03-28,William Morrow Paperbacks,3.86
28,Notes from a Small Island,Bill Bryson,0380727501,9780380727506,eng,324,80609,3301,1997-05-28,William Morrow Paperbacks,3.91
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,0380715430,9780380715435,eng,270,28489,2085,1991-09-28,William Morrow Paperbacks,3.93
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,0345538374,9780345538376,eng,1728,101233,1550,2012-09-25,Ballantine Books,4.59
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,0618517650,9780618517657,eng,1184,1710,91,2004-10-21,Houghton Mifflin Harcourt,4.5
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,0618346252,9780618346257,eng,398,2128944,13670,2003-09-05,Houghton Mifflin Harcourt,4.36
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,0618260587,9780618260584,en-US,1216,1618,140,2002-10-01,Houghton Mifflin Harcourt,4.5
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,0618391002,9780618391004,eng,218,19822,46,2003-11-05,Houghton Mifflin Harcourt,4.53
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,0618510826,9780618510825,eng,224,359,6,2004-11-15,Houghton Mifflin Harcourt,4.5
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,097669400X,9780976694007,eng,558,1430,59,2005-07-28,Pragmatic Bookshelf,3.84
50,Hatchet (Brian's Saga  #1),Gary Paulsen,0689840926,9780689840920,eng,208,270244,12017,2000-04-01,Atheneum Books for Young Readers: Richard Jackson Books,3.72
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,1557344493,9781557344496,eng,48,36,2,1994-08-28,Teacher Created Resources,4.0
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,0385326505,9780385326506,eng,144,2067,334,2001-01-23,Delacorte Press,3.88
54,Molly Hatchet - 5 of the Best,Molly Hatchet,1575606240,9781575606248,eng,56,6,0,2003-06-10,Cherry Lane Music Company,4.33
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,1595580271,9781595580276,en-US,228,99,16,2005-11-01,The New Press,3.45
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,1595962808,9781595962805,eng,304,167,4,2005-11-01,Changeling Press,3.76
58,Changeling (Changeling  #1),Delia Sherman,0670059676,9780670059676,eng,256,978,111,2006-08-17,Viking Juvenile,3.6
59,The Changeling Sea,Patricia A. McKillip,0141312629,9780141312620,eng,137,4454,302,2003-04-14,Firebird,4.06
61,The Changeling,Zilpha Keatley Snyder,0595321801,9780595321803,eng,228,1176,96,2004-06-08,iUniverse,4.17
63,The Changeling,Kate Horsley,1590301943,9781590301944,eng,339,301,43,2005-04-12,Shambhala,3.55
66,The Changeling (Daughters of England  #15),Philippa Carr,0449146979,9780449146972,eng,369,345,12,1990-08-28,Ivy Books,3.98
67,The Known World,Edward P. Jones,0061159174,9780061159176,eng,388,29686,2626,2006-08-29,Amistad,3.83
68,The Known World,Edward P. Jones/Kevin R. Free,006076273X,9780060762735,en-US,14,55,12,2004-06-15,HarperAudio,3.83
69,The Known World,Edward P. Jones,0060749911,9780060749910,eng,576,22,3,2004-06-15,Harper,3.83
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,0273704745,9780273704744,eng,334,1456,82,2006-05-15,FT Press,3.83
72,Artesia: Adventures in the Known World,Mark Smylie,1932386106,9781932386103,eng,352,52,4,2005-12-14,Archaia,4.13
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,0374517193,9780374517199,eng,416,562,37,1982-06-01,Farrar  Straus and Giroux,4.42
75,Uncommon Carriers,John McPhee,0374280398,9780374280390,en-US,248,1630,203,2006-05-16,Farrar Straus Giroux,3.95
76,Heirs of General Practice,John McPhee,0374519749,9780374519742,eng,128,268,22,1986-04-01,Farrar  Straus and Giroux,4.17
77,The Control of Nature,John McPhee,0374522596,9780374522599,en-US,288,3498,305,1990-09-01,Farrar  Straus and Giroux,4.24
78,Annals of the Former World,John McPhee,0374518734,9780374518738,eng,720,3115,228,1999-01-06,Farrar  Straus and Giroux,4.34
